Species,Population,Plate,Treatment,Transfer,Hatching,DateOfPrepupa,DateOfPupa,DateOfAdult,TimeToAdult,Sex,PupalMass,AdultSize,HornSize,StageAtDeath
Gazella,FL,1,M(-),5/20/2014,5/22/2014,,,,,,,,,L1
Gazella,FL,1,M(-),5/20/2014,5/21/2014,,,,,,,,,L1
Gazella,FL,1,M(-),5/20/2014,5/22/2014,,,,,,,,,L1
Gazella,FL,1,M(-),5/26/2014,5/29/2014,,,,,,,,,L1
Gazella,FL,2,M(-),5/26/2014,5/28/2014,,,,,,,,,L1
Gazella,FL,2,M(-),5/26/2014,5/29/2014,,,,,,,,,L2
Gazella,FL,2,M(-),5/26/2014,5/27/2014,,,,,,,,,L1
Gazella,FL,2,M(-),5/26/2014,5/27/2014,,,,,,,,,L1
Gazella,FL,3,M(-),5/26/2014,5/28/2014,,,,,,,,,L1
Gazella,FL,3,M(-),5/26/2014,5/27/2014,,,,,,,,,L1
Gazella,FL,3,M(-),5/26/2014,5/28/2014,,,,,,,,,L1
Gazella,FL,3,M(-),5/26/2014,5/28/2014,,,,,,,,,L1
Gazella,FL,4,M(-),5/26/2014,5/27/2014,,,,,,,,,L1
Gazella,FL,4,M(-),5/26/2014,5/27/2014,,,,,,,,,L1
Gazella,FL,4,M(-),6/2/2014,6/4/2014,,,,,,,,,L3
Gazella,FL,4,M(-),6/2/2014,6/4/2014,,,,,,,,,L2
Gazella,FL,5,M(-),6/2/2014,6/4/2014,,,,,,,,,L3
Gazella,FL,5,M(-),6/2/2014,6/4/2014,,,,,,,,,L3
Gazella,FL,5,M(-),6/2/2014,6/4/2014,,,,,,,,,L2
Gazella,FL,5,M(-),6/2/2014,6/4/2014,,,,,,,,,L2
Gazella,FL,6,M(-),6/10/2014,6/13/2014,,,,,,,,,L2
Gazella,FL,6,M(-),6/10/2014,6/12/2014,,,,,,,,,L2
Gazella,FL,6,M(-),6/10/2014,6/12/2014,,,,,,,,,L2
Gazella,FL,6,M(-),6/10/2014,6/12/2014,,,,,,,,,L2
Gazella,FL,7,M(-),6/10/2014,6/11/2014,,,,,,,,,L1
Gazella,FL,7,M(-),6/10/2014,6/12/2014,,,,,,,,,L3
Gazella,FL,7,M(-),6/10/2014,6/12/2014,,,,,,,,,L3
Gazella,FL,7,M(-),6/10/2014,6/12/2014,,,,,,,,,L2
Gazella,FL,8,M(-),6/17/2014,6/19/2014,,,,,,,,,L1
Gazella,FL,8,M(-),6/17/2014,6/18/2014,,,,,,,,,L2
Gazella,FL,8,M(-),6/17/2014,6/19/2014,,,,,,,,,L1
Gazella,FL,8,M(-),6/17/2014,6/19/2014,,,,,,,,,L2
Gazella,FL,9,M(-),6/17/2014,6/18/2014,,,,,,,,,L1
Gazella,FL,9,M(-),6/17/2014,6/19/2014,,,,,,,,,L2
Gazella,FL,1,M(+),5/20/2014,5/22/2014,6/12/2014,6/13/2014,6/19/2014,28,F,,5.196,,
Gazella,FL,1,M(+),5/20/2014,5/22/2014,,,,,,,,,L1
Gazella,FL,1,M(+),5/20/2014,5/22/2014,6/8/2014,6/10/2014,6/14/2014,23,F,,5.708,,
Gazella,FL,1,M(+),5/20/2014,5/21/2014,,,,,,,,,L1
Gazella,FL,2,M(+),5/26/2014,5/28/2014,,,,,,,,,L2
Gazella,FL,2,M(+),5/26/2014,5/28/2014,6/16/2014,6/18/2014,6/23/2014,26,F,,4.813,,
Gazella,FL,2,M(+),5/26/2014,5/28/2014,6/17/2014,6/18/2014,6/24/2014,27,M,,5.336,0.53,
Gazella,FL,2,M(+),5/26/2014,5/27/2014,6/16/2014,,,,,,,,Prepupa
Gazella,FL,3,M(+),5/26/2014,5/28/2014,,,,,,,,,L2
Gazella,FL,3,M(+),5/26/2014,5/27/2014,,,,,,,,,L1
Gazella,FL,3,M(+),5/26/2014,5/27/2014,,,,,,,,,L1
Gazella,FL,3,M(+),5/26/2014,5/28/2014,6/16/2014,6/18/2014,6/24/2014,27,M,,4.478,0.479,
Gazella,FL,4,M(+),5/26/2014,5/27/2014,,,,,,,,,L1
Gazella,FL,4,M(+),5/26/2014,5/28/2014,,,,,,,,,L1
Gazella,FL,4,M(+),6/2/2014,6/4/2014,,,,,,,,,L1
Gazella,FL,4,M(+),6/2/2014,6/4/2014,6/24/2014,6/26/2014,7/1/2014,27,M,,5.204,0.492,
Gazella,FL,5,M(+),6/2/2014,6/4/2014,6/22/2014,6/24/2014,7/1/2014,27,M,,5.432,0.59,
Gazella,FL,5,M(+),6/2/2014,6/4/2014,,,,,,,,,L1
Gazella,FL,5,M(+),6/10/2014,6/11/2014,,,,,,,,,L3
Gazella,FL,5,M(+),6/10/2014,6/12/2014,,,,,,,,,L3
Gazella,FL,6,M(+),6/10/2014,6/11/2014,7/6/2014,7/7/2014,7/12/2014,31,M,,5.047,0.417,
Gazella,FL,6,M(+),6/10/2014,6/12/2014,7/16/2014,,,,,,,,PP
Gazella,FL,6,M(+),6/10/2014,6/12/2014,,,,,,,,,L2
Gazella,FL,6,M(+),6/17/2014,6/19/2014,,,,,,,,,L1
Gazella,FL,7,M(+),6/17/2014,6/19/2014,7/9/2014,7/10/2014,7/15/2014,26,F,,5.41,,
Gazella,FL,7,M(+),6/17/2014,6/19/2014,,,,,,,,,L1
